GO Accession	GO Name	GO Aspect	P-value (1)	P-value (2)	Protein List (1)	Protein List (2)
GO:0065008	regulation of biological quality	biological_process	1E0		lcl|c243086_g4_i2|m.30593,lcl|c221753_g3_i7|m.7844	
GO:0065009	regulation of molecular function	biological_process	1E0		lcl|c224263_g3_i3|m.9691,lcl|c242001_g1_i2|m.29236	
GO:0098869	cellular oxidant detoxification	biological_process	1E0		lcl|c243506_g1_i6|m.31041,lcl|c238919_g4_i6|m.25079	
GO:0051693	actin filament capping	biological_process	1E0		lcl|c221753_g3_i7|m.7844	
GO:1903050	regulation of proteolysis involved in cellular protein catabolic process	biological_process	1E0		lcl|c223425_g3_i3|m.9106,lcl|c223433_g6_i1|m.9115	
GO:0043933	macromolecular complex subunit organization	biological_process	1E0		lcl|c221753_g3_i7|m.7844,lcl|c224289_g1_i1|m.9705,lcl|c244145_g1_i1|m.31801,lcl|c227202_g1_i3|m.12234,lcl|c218820_g4_i2|m.5974	
GO:0051716	cellular response to stimulus	biological_process	1E0		lcl|c244151_g1_i2|m.31813	
GO:1903052	positive regulation of proteolysis involved in cellular protein catabolic process	biological_process	1E0		lcl|c223425_g3_i3|m.9106,lcl|c223433_g6_i1|m.9115	
GO:0034613	cellular protein localization	biological_process	1E0		lcl|c225394_g4_i2|m.10584,lcl|c224534_g1_i4|m.9895,lcl|c225618_g2_i6|m.10783	
GO:0032535	regulation of cellular component size	biological_process	1E0		lcl|c221753_g3_i7|m.7844	
GO:0008104	protein localization	biological_process	1E0		lcl|c225394_g4_i2|m.10584,lcl|c217645_g1_i1|m.5302,lcl|c224534_g1_i4|m.9895,lcl|c225618_g2_i6|m.10783	
GO:0034622	cellular macromolecular complex assembly	biological_process	1E0		lcl|c224289_g1_i1|m.9705,lcl|c227202_g1_i3|m.12234,lcl|c218820_g4_i2|m.5974	
GO:0009889	regulation of biosynthetic process	biological_process	1E0		lcl|c237832_g1_i6|m.23803,lcl|c223077_g2_i1|m.8858	
GO:0022607	cellular component assembly	biological_process	1E0		lcl|c224289_g1_i1|m.9705,lcl|c227202_g1_i3|m.12234,lcl|c218820_g4_i2|m.5974	
GO:0009890	negative regulation of biosynthetic process	biological_process	1E0		lcl|c237832_g1_i6|m.23803	
GO:0009891	positive regulation of biosynthetic process	biological_process	1E0		lcl|c223077_g2_i1|m.8858	
GO:0009892	negative regulation of metabolic process	biological_process	1E0		lcl|c237832_g1_i6|m.23803,lcl|c242001_g1_i2|m.29236	
GO:0009893	positive regulation of metabolic process	biological_process	1E0		lcl|c223425_g3_i3|m.9106,lcl|c223433_g6_i1|m.9115,lcl|c223077_g2_i1|m.8858	
GO:0009894	regulation of catabolic process	biological_process	1E0		lcl|c223425_g3_i3|m.9106,lcl|c224263_g3_i3|m.9691,lcl|c223433_g6_i1|m.9115	
GO:0009896	positive regulation of catabolic process	biological_process	1E0		lcl|c223425_g3_i3|m.9106,lcl|c223433_g6_i1|m.9115	
GO:0034641	cellular nitrogen compound metabolic process	biological_process	1E0		lcl|c241500_g1_i1|m.28663,lcl|c224289_g1_i1|m.9705,lcl|c218703_g1_i4|m.5907,lcl|c237215_g1_i1|m.23031,lcl|c211022_g1_i7|m.2328,lcl|c210226_g1_i1|m.2139,lcl|c218820_g4_i2|m.5974,lcl|c220936_g1_i1|m.7247,lcl|c238111_g1_i1|m.24102,lcl|c223077_g2_i1|m.8858,lcl|c237832_g1_i6|m.23803,lcl|c218481_g4_i6|m.5811,lcl|c223247_g3_i6|m.8971,lcl|c225931_g4_i1|m.11061,lcl|c231281_g6_i3|m.16097,lcl|c229060_g1_i1|m.13927	
GO:0034645	cellular macromolecule biosynthetic process	biological_process	1E0		lcl|c241500_g1_i1|m.28663,lcl|c224289_g1_i1|m.9705,lcl|c237832_g1_i6|m.23803,lcl|c218703_g1_i4|m.5907,lcl|c218481_g4_i6|m.5811,lcl|c211022_g1_i7|m.2328,lcl|c218820_g4_i2|m.5974,lcl|c223077_g2_i1|m.8858	
GO:0034654	nucleobase-containing compound biosynthetic process	biological_process	1E0		lcl|c210226_g1_i1|m.2139,lcl|c231281_g6_i3|m.16097,lcl|c229060_g1_i1|m.13927	
GO:0070085	glycosylation	biological_process	1E0		lcl|c241500_g1_i1|m.28663	
GO:0080090	regulation of primary metabolic process	biological_process	1E0		lcl|c237832_g1_i6|m.23803,lcl|c223425_g3_i3|m.9106,lcl|c224263_g3_i3|m.9691,lcl|c223433_g6_i1|m.9115,lcl|c242001_g1_i2|m.29236,lcl|c223077_g2_i1|m.8858	
GO:0045184	establishment of protein localization	biological_process	1E0		lcl|c217645_g1_i1|m.5302,lcl|c224534_g1_i4|m.9895,lcl|c225618_g2_i6|m.10783	
