GO Accession	GO Name	GO Aspect	P-value (1)	P-value (2)	Protein List (1)	Protein List (2)
GO:0044238	primary metabolic process	biological_process	1E0		lcl|c241500_g1_i1|m.28663,lcl|c224289_g1_i1|m.9705,lcl|c237215_g1_i1|m.23031,lcl|c221356_g3_i2|m.7588,lcl|c211022_g1_i7|m.2328,lcl|c216377_g1_i3|m.4559,lcl|c210226_g1_i1|m.2139,lcl|c226769_g3_i1|m.11767,lcl|c225618_g2_i6|m.10783,lcl|c236134_g1_i2|m.21741,lcl|c220936_g1_i1|m.7247,lcl|c223077_g2_i1|m.8858,lcl|c218119_g1_i3|m.5570,lcl|c209946_g1_i6|m.2078,lcl|c237832_g1_i6|m.23803,lcl|c223425_g3_i3|m.9106,lcl|c218481_g4_i6|m.5811,lcl|c210724_g2_i1|m.2253,lcl|c223433_g6_i1|m.9115,lcl|c225931_g4_i1|m.11061,lcl|c228038_g3_i1|m.12994,lcl|c216702_g5_i1|m.4730,lcl|c218703_g1_i4|m.5907,lcl|c242193_g2_i1|m.29501,lcl|c222929_g2_i3|m.8717,lcl|c243222_g3_i1|m.30722,lcl|c218820_g4_i2|m.5974,lcl|c243149_g1_i2|m.30670,lcl|c228448_g3_i1|m.13331,lcl|c217573_g1_i1|m.5252,lcl|c223247_g3_i6|m.8971,lcl|c231281_g6_i3|m.16097,lcl|c221482_g1_i3|m.7664,lcl|c229060_g1_i1|m.13927	
GO:0045727	positive regulation of translation	biological_process	1E0		lcl|c223077_g2_i1|m.8858	
GO:0018108	peptidyl-tyrosine phosphorylation	biological_process	1E0		lcl|c210724_g2_i1|m.2253	
GO:0009116	nucleoside metabolic process	biological_process	1E0		lcl|c210226_g1_i1|m.2139,lcl|c231281_g6_i3|m.16097,lcl|c220936_g1_i1|m.7247	
GO:0009117	nucleotide metabolic process	biological_process	1E0		lcl|c210226_g1_i1|m.2139,lcl|c223247_g3_i6|m.8971,lcl|c231281_g6_i3|m.16097,lcl|c220936_g1_i1|m.7247,lcl|c229060_g1_i1|m.13927	
GO:0035966	response to topologically incorrect protein	biological_process	1E0		lcl|c243554_g1_i5|m.31071	
GO:0009119	ribonucleoside metabolic process	biological_process	1E0		lcl|c210226_g1_i1|m.2139,lcl|c231281_g6_i3|m.16097,lcl|c220936_g1_i1|m.7247	
GO:0044248	cellular catabolic process	biological_process	1E0		lcl|c218119_g1_i3|m.5570,lcl|c216702_g5_i1|m.4730,lcl|c238111_g1_i1|m.24102,lcl|c243149_g1_i2|m.30670	
GO:0009123	nucleoside monophosphate metabolic process	biological_process	1E0		lcl|c210226_g1_i1|m.2139,lcl|c231281_g6_i3|m.16097,lcl|c220936_g1_i1|m.7247	
GO:0044249	cellular biosynthetic process	biological_process	1E0		lcl|c241500_g1_i1|m.28663,lcl|c224289_g1_i1|m.9705,lcl|c218703_g1_i4|m.5907,lcl|c237215_g1_i1|m.23031,lcl|c219556_g4_i5|m.6447,lcl|c211022_g1_i7|m.2328,lcl|c210226_g1_i1|m.2139,lcl|c218820_g4_i2|m.5974,lcl|c223077_g2_i1|m.8858,lcl|c237832_g1_i6|m.23803,lcl|c218481_g4_i6|m.5811,lcl|c231281_g6_i3|m.16097,lcl|c229060_g1_i1|m.13927	
GO:0009124	nucleoside monophosphate biosynthetic process	biological_process	1E0		lcl|c210226_g1_i1|m.2139,lcl|c231281_g6_i3|m.16097	
GO:0000413	protein peptidyl-prolyl isomerization	biological_process	1E0		lcl|c228038_g3_i1|m.12994,lcl|c217573_g1_i1|m.5252,lcl|c222929_g2_i3|m.8717	
GO:0009126	purine nucleoside monophosphate metabolic process	biological_process	1E0		lcl|c210226_g1_i1|m.2139,lcl|c231281_g6_i3|m.16097,lcl|c220936_g1_i1|m.7247	
GO:0009127	purine nucleoside monophosphate biosynthetic process	biological_process	1E0		lcl|c210226_g1_i1|m.2139,lcl|c231281_g6_i3|m.16097	
GO:0043161	proteasome-mediated ubiquitin-dependent protein catabolic process	biological_process	1E0		lcl|c216702_g5_i1|m.4730	
GO:0097359	UDP-glucosylation	biological_process	1E0		lcl|c241500_g1_i1|m.28663	
GO:1903361	protein localization to basolateral plasma membrane	biological_process	1E0		lcl|c225394_g4_i2|m.10584	
GO:0044257	cellular protein catabolic process	biological_process	1E0		lcl|c218119_g1_i3|m.5570,lcl|c216702_g5_i1|m.4730,lcl|c243149_g1_i2|m.30670	
GO:1903362	regulation of cellular protein catabolic process	biological_process	1E0		lcl|c223425_g3_i3|m.9106,lcl|c223433_g6_i1|m.9115	
GO:0061077	chaperone-mediated protein folding	biological_process	1E0		lcl|c243554_g1_i5|m.31071	
GO:1903364	positive regulation of cellular protein catabolic process	biological_process	1E0		lcl|c223425_g3_i3|m.9106,lcl|c223433_g6_i1|m.9115	
GO:0044260	cellular macromolecule metabolic process	biological_process	1E0		lcl|c228038_g3_i1|m.12994,lcl|c216702_g5_i1|m.4730,lcl|c241500_g1_i1|m.28663,lcl|c224289_g1_i1|m.9705,lcl|c218703_g1_i4|m.5907,lcl|c242193_g2_i1|m.29501,lcl|c221356_g3_i2|m.7588,lcl|c211022_g1_i7|m.2328,lcl|c222929_g2_i3|m.8717,lcl|c218820_g4_i2|m.5974,lcl|c225618_g2_i6|m.10783,lcl|c243149_g1_i2|m.30670,lcl|c223077_g2_i1|m.8858,lcl|c228448_g3_i1|m.13331,lcl|c218119_g1_i3|m.5570,lcl|c237832_g1_i6|m.23803,lcl|c218481_g4_i6|m.5811,lcl|c217573_g1_i1|m.5252,lcl|c210724_g2_i1|m.2253,lcl|c225931_g4_i1|m.11061	
GO:0043170	macromolecule metabolic process	biological_process	1E0		lcl|c241500_g1_i1|m.28663,lcl|c224289_g1_i1|m.9705,lcl|c221356_g3_i2|m.7588,lcl|c211022_g1_i7|m.2328,lcl|c216377_g1_i3|m.4559,lcl|c225618_g2_i6|m.10783,lcl|c223077_g2_i1|m.8858,lcl|c218119_g1_i3|m.5570,lcl|c209946_g1_i6|m.2078,lcl|c237832_g1_i6|m.23803,lcl|c223425_g3_i3|m.9106,lcl|c218481_g4_i6|m.5811,lcl|c210724_g2_i1|m.2253,lcl|c223433_g6_i1|m.9115,lcl|c225931_g4_i1|m.11061,lcl|c228038_g3_i1|m.12994,lcl|c216702_g5_i1|m.4730,lcl|c218703_g1_i4|m.5907,lcl|c242193_g2_i1|m.29501,lcl|c222929_g2_i3|m.8717,lcl|c243222_g3_i1|m.30722,lcl|c218820_g4_i2|m.5974,lcl|c243149_g1_i2|m.30670,lcl|c228448_g3_i1|m.13331,lcl|c217573_g1_i1|m.5252	
GO:0018130	heterocycle biosynthetic process	biological_process	1E0		lcl|c210226_g1_i1|m.2139,lcl|c231281_g6_i3|m.16097,lcl|c229060_g1_i1|m.13927	
GO:0044265	cellular macromolecule catabolic process	biological_process	1E0		lcl|c218119_g1_i3|m.5570,lcl|c216702_g5_i1|m.4730,lcl|c243149_g1_i2|m.30670	
GO:0009141	nucleoside triphosphate metabolic process	biological_process	1E0		lcl|c210226_g1_i1|m.2139,lcl|c231281_g6_i3|m.16097,lcl|c220936_g1_i1|m.7247	
GO:0044267	cellular protein metabolic process	biological_process	1E0		lcl|c228038_g3_i1|m.12994,lcl|c216702_g5_i1|m.4730,lcl|c241500_g1_i1|m.28663,lcl|c224289_g1_i1|m.9705,lcl|c218703_g1_i4|m.5907,lcl|c242193_g2_i1|m.29501,lcl|c221356_g3_i2|m.7588,lcl|c211022_g1_i7|m.2328,lcl|c222929_g2_i3|m.8717,lcl|c218820_g4_i2|m.5974,lcl|c225618_g2_i6|m.10783,lcl|c243149_g1_i2|m.30670,lcl|c223077_g2_i1|m.8858,lcl|c228448_g3_i1|m.13331,lcl|c218119_g1_i3|m.5570,lcl|c237832_g1_i6|m.23803,lcl|c218481_g4_i6|m.5811,lcl|c217573_g1_i1|m.5252,lcl|c210724_g2_i1|m.2253	
GO:0009142	nucleoside triphosphate biosynthetic process	biological_process	1E0		lcl|c210226_g1_i1|m.2139,lcl|c231281_g6_i3|m.16097	
GO:0009144	purine nucleoside triphosphate metabolic process	biological_process	1E0		lcl|c210226_g1_i1|m.2139,lcl|c231281_g6_i3|m.16097,lcl|c220936_g1_i1|m.7247	
GO:0044270	cellular nitrogen compound catabolic process	biological_process	1E0		lcl|c238111_g1_i1|m.24102	
GO:1901293	nucleoside phosphate biosynthetic process	biological_process	1E0		lcl|c210226_g1_i1|m.2139,lcl|c231281_g6_i3|m.16097,lcl|c229060_g1_i1|m.13927	
GO:0009145	purine nucleoside triphosphate biosynthetic process	biological_process	1E0		lcl|c210226_g1_i1|m.2139,lcl|c231281_g6_i3|m.16097	
GO:0044271	cellular nitrogen compound biosynthetic process	biological_process	1E0		lcl|c224289_g1_i1|m.9705,lcl|c237832_g1_i6|m.23803,lcl|c218703_g1_i4|m.5907,lcl|c218481_g4_i6|m.5811,lcl|c237215_g1_i1|m.23031,lcl|c211022_g1_i7|m.2328,lcl|c210226_g1_i1|m.2139,lcl|c218820_g4_i2|m.5974,lcl|c231281_g6_i3|m.16097,lcl|c229060_g1_i1|m.13927,lcl|c223077_g2_i1|m.8858	
GO:0006605	protein targeting	biological_process	1E0		lcl|c225618_g2_i6|m.10783	
GO:0008064	regulation of actin polymerization or depolymerization	biological_process	1E0		lcl|c221753_g3_i7|m.7844	
GO:0009150	purine ribonucleotide metabolic process	biological_process	1E0		lcl|c210226_g1_i1|m.2139,lcl|c231281_g6_i3|m.16097,lcl|c220936_g1_i1|m.7247	
GO:0009152	purine ribonucleotide biosynthetic process	biological_process	1E0		lcl|c210226_g1_i1|m.2139,lcl|c231281_g6_i3|m.16097	
GO:0044281	small molecule metabolic process	biological_process	1E0		lcl|c237215_g1_i1|m.23031,lcl|c219556_g4_i5|m.6447,lcl|c210226_g1_i1|m.2139,lcl|c223247_g3_i6|m.8971,lcl|c226769_g3_i1|m.11767,lcl|c231281_g6_i3|m.16097,lcl|c221482_g1_i3|m.7664,lcl|c236134_g1_i2|m.21741,lcl|c220936_g1_i1|m.7247,lcl|c229060_g1_i1|m.13927,lcl|c238111_g1_i1|m.24102,lcl|c242894_g3_i1|m.30343	
GO:0009156	ribonucleoside monophosphate biosynthetic process	biological_process	1E0		lcl|c210226_g1_i1|m.2139,lcl|c231281_g6_i3|m.16097	
GO:0018149	peptide cross-linking	biological_process	1E0		lcl|c242193_g2_i1|m.29501,lcl|c221356_g3_i2|m.7588	
GO:0044282	small molecule catabolic process	biological_process	1E0		lcl|c238111_g1_i1|m.24102	
GO:0044283	small molecule biosynthetic process	biological_process	1E0		lcl|c237215_g1_i1|m.23031,lcl|c219556_g4_i5|m.6447,lcl|c236134_g1_i2|m.21741	
GO:0009161	ribonucleoside monophosphate metabolic process	biological_process	1E0		lcl|c210226_g1_i1|m.2139,lcl|c231281_g6_i3|m.16097,lcl|c220936_g1_i1|m.7247	
GO:0009163	nucleoside biosynthetic process	biological_process	1E0		lcl|c210226_g1_i1|m.2139,lcl|c231281_g6_i3|m.16097	
GO:0009165	nucleotide biosynthetic process	biological_process	1E0		lcl|c210226_g1_i1|m.2139,lcl|c231281_g6_i3|m.16097,lcl|c229060_g1_i1|m.13927	
GO:0009167	purine ribonucleoside monophosphate metabolic process	biological_process	1E0		lcl|c210226_g1_i1|m.2139,lcl|c231281_g6_i3|m.16097,lcl|c220936_g1_i1|m.7247	
GO:0009168	purine ribonucleoside monophosphate biosynthetic process	biological_process	1E0		lcl|c210226_g1_i1|m.2139,lcl|c231281_g6_i3|m.16097	
GO:0006626	protein targeting to mitochondrion	biological_process	1E0		lcl|c225618_g2_i6|m.10783	
GO:0006627	protein processing involved in protein targeting to mitochondrion	biological_process	1E0		lcl|c225618_g2_i6|m.10783	
GO:0015031	protein transport	biological_process	1E0		lcl|c217645_g1_i1|m.5302,lcl|c224534_g1_i4|m.9895,lcl|c225618_g2_i6|m.10783	
GO:0034982	mitochondrial protein processing	biological_process	1E0		lcl|c225618_g2_i6|m.10783	
GO:0016567	protein ubiquitination	biological_process	1E0		lcl|c228448_g3_i1|m.13331	
GO:0072521	purine-containing compound metabolic process	biological_process	1E0		lcl|c210226_g1_i1|m.2139,lcl|c231281_g6_i3|m.16097,lcl|c220936_g1_i1|m.7247,lcl|c229060_g1_i1|m.13927	
GO:0072522	purine-containing compound biosynthetic process	biological_process	1E0		lcl|c210226_g1_i1|m.2139,lcl|c231281_g6_i3|m.16097,lcl|c229060_g1_i1|m.13927	
GO:0072524	pyridine-containing compound metabolic process	biological_process	1E0		lcl|c223247_g3_i6|m.8971	
GO:0019318	hexose metabolic process	biological_process	1E0		lcl|c223247_g3_i6|m.8971,lcl|c236134_g1_i2|m.21741	
GO:0010256	endomembrane system organization	biological_process	1E0		lcl|c225394_g4_i2|m.10584	
GO:0019319	hexose biosynthetic process	biological_process	1E0		lcl|c236134_g1_i2|m.21741	
GO:0009199	ribonucleoside triphosphate metabolic process	biological_process	1E0		lcl|c210226_g1_i1|m.2139,lcl|c231281_g6_i3|m.16097,lcl|c220936_g1_i1|m.7247	
GO:0018193	peptidyl-amino acid modification	biological_process	1E0		lcl|c228038_g3_i1|m.12994,lcl|c217573_g1_i1|m.5252,lcl|c210724_g2_i1|m.2253,lcl|c222929_g2_i3|m.8717	
GO:0009201	ribonucleoside triphosphate biosynthetic process	biological_process	1E0		lcl|c210226_g1_i1|m.2139,lcl|c231281_g6_i3|m.16097	
GO:0043242	negative regulation of protein complex disassembly	biological_process	1E0		lcl|c221753_g3_i7|m.7844	
GO:0090066	regulation of anatomical structure size	biological_process	1E0		lcl|c221753_g3_i7|m.7844	
GO:0043243	positive regulation of protein complex disassembly	biological_process	1E0		lcl|c223077_g2_i1|m.8858	
GO:0043244	regulation of protein complex disassembly	biological_process	1E0		lcl|c221753_g3_i7|m.7844,lcl|c223077_g2_i1|m.8858	
GO:0009205	purine ribonucleoside triphosphate metabolic process	biological_process	1E0		lcl|c210226_g1_i1|m.2139,lcl|c231281_g6_i3|m.16097,lcl|c220936_g1_i1|m.7247	
GO:0009206	purine ribonucleoside triphosphate biosynthetic process	biological_process	1E0		lcl|c210226_g1_i1|m.2139,lcl|c231281_g6_i3|m.16097	
GO:1901360	organic cyclic compound metabolic process	biological_process	1E0		lcl|c241500_g1_i1|m.28663,lcl|c210226_g1_i1|m.2139,lcl|c223247_g3_i6|m.8971,lcl|c225931_g4_i1|m.11061,lcl|c231281_g6_i3|m.16097,lcl|c220936_g1_i1|m.7247,lcl|c229060_g1_i1|m.13927	
GO:1901362	organic cyclic compound biosynthetic process	biological_process	1E0		lcl|c210226_g1_i1|m.2139,lcl|c231281_g6_i3|m.16097,lcl|c229060_g1_i1|m.13927	
GO:0043254	regulation of protein complex assembly	biological_process	1E0		lcl|c221753_g3_i7|m.7844	
GO:0018208	peptidyl-proline modification	biological_process	1E0		lcl|c228038_g3_i1|m.12994,lcl|c217573_g1_i1|m.5252,lcl|c222929_g2_i3|m.8717	
GO:0018212	peptidyl-tyrosine modification	biological_process	1E0		lcl|c210724_g2_i1|m.2253	
GO:0009225	nucleotide-sugar metabolic process	biological_process	1E0		lcl|c241500_g1_i1|m.28663	
GO:0032956	regulation of actin cytoskeleton organization	biological_process	1E0		lcl|c221753_g3_i7|m.7844	
GO:0008150	biological_process	biological_process	1E0		lcl|c225394_g4_i2|m.10584,lcl|c241500_g1_i1|m.28663,lcl|c235743_g4_i1|m.21296,lcl|c221356_g3_i2|m.7588,lcl|c219556_g4_i5|m.6447,lcl|c238372_g5_i2|m.24429,lcl|c211022_g1_i7|m.2328,lcl|c216377_g1_i3|m.4559,lcl|c210226_g1_i1|m.2139,lcl|c243349_g1_i4|m.30872,lcl|c236134_g1_i2|m.21741,lcl|c209946_g1_i6|m.2078,lcl|c237832_g1_i6|m.23803,lcl|c218481_g4_i6|m.5811,lcl|c234955_g3_i3|m.20445,lcl|c223433_g6_i1|m.9115,lcl|c242001_g1_i2|m.29236,lcl|c214652_g1_i3|m.3567,lcl|c228038_g3_i1|m.12994,lcl|c244145_g1_i1|m.31801,lcl|c242193_g2_i1|m.29501,lcl|c205368_g1_i5|m.1453,lcl|c233001_g2_i4|m.18006,lcl|c222929_g2_i3|m.8717,lcl|c243222_g3_i1|m.30722,lcl|c238111_g1_i1|m.24102,lcl|c243149_g1_i2|m.30670,lcl|c243086_g4_i2|m.30593,lcl|c223205_g4_i1|m.8934,lcl|c217573_g1_i1|m.5252,lcl|c224263_g3_i3|m.9691,lcl|c227202_g1_i3|m.12234,lcl|c244151_g1_i2|m.31813,lcl|c218374_g1_i3|m.5753,lcl|c230039_g1_i2|m.14881,lcl|c223247_g3_i6|m.8971,lcl|c224534_g1_i4|m.9895,lcl|c229060_g1_i1|m.13927,lcl|c243506_g1_i6|m.31041,lcl|c224289_g1_i1|m.9705,lcl|c238919_g4_i6|m.25079,lcl|c237215_g1_i1|m.23031,lcl|c226769_g3_i1|m.11767,lcl|c225618_g2_i6|m.10783,lcl|c220936_g1_i1|m.7247,lcl|c242894_g3_i1|m.30343,lcl|c223077_g2_i1|m.8858,lcl|c218119_g1_i3|m.5570,lcl|c223425_g3_i3|m.9106,lcl|c210724_g2_i1|m.2253,lcl|c225931_g4_i1|m.11061,lcl|c235722_g2_i1|m.21267,lcl|c229881_g6_i6|m.14719,lcl|c216702_g5_i1|m.4730,lcl|c243632_g1_i1|m.31156,lcl|c218703_g1_i4|m.5907,lcl|c220638_g5_i1|m.7054,lcl|c243554_g1_i5|m.31071,lcl|c218820_g4_i2|m.5974,lcl|c226009_g3_i5|m.11131,lcl|c228448_g3_i1|m.13331,lcl|c221753_g3_i7|m.7844,lcl|c241148_g1_i6|m.28240,lcl|c217645_g1_i1|m.5302,lcl|c231281_g6_i3|m.16097,lcl|c221482_g1_i3|m.7664,lcl|c231068_g6_i2|m.15939	
GO:0019362	pyridine nucleotide metabolic process	biological_process	1E0		lcl|c223247_g3_i6|m.8971	
GO:0032970	regulation of actin filament-based process	biological_process	1E0		lcl|c221753_g3_i7|m.7844	
GO:0042176	regulation of protein catabolic process	biological_process	1E0		lcl|c223425_g3_i3|m.9106,lcl|c224263_g3_i3|m.9691,lcl|c223433_g6_i1|m.9115	
GO:0009259	ribonucleotide metabolic process	biological_process	1E0		lcl|c210226_g1_i1|m.2139,lcl|c231281_g6_i3|m.16097,lcl|c220936_g1_i1|m.7247	
GO:0009260	ribonucleotide biosynthetic process	biological_process	1E0		lcl|c210226_g1_i1|m.2139,lcl|c231281_g6_i3|m.16097	
GO:0030833	regulation of actin filament polymerization	biological_process	1E0		lcl|c221753_g3_i7|m.7844	
GO:0042180	cellular ketone metabolic process	biological_process	1E0		lcl|c219556_g4_i5|m.6447	
GO:0072594	establishment of protein localization to organelle	biological_process	1E0		lcl|c225618_g2_i6|m.10783	
GO:0030834	regulation of actin filament depolymerization	biological_process	1E0		lcl|c221753_g3_i7|m.7844	
GO:0042181	ketone biosynthetic process	biological_process	1E0		lcl|c219556_g4_i5|m.6447	
GO:0030835	negative regulation of actin filament depolymerization	biological_process	1E0		lcl|c221753_g3_i7|m.7844	
GO:0006725	cellular aromatic compound metabolic process	biological_process	1E0		lcl|c241500_g1_i1|m.28663,lcl|c210226_g1_i1|m.2139,lcl|c223247_g3_i6|m.8971,lcl|c225931_g4_i1|m.11061,lcl|c231281_g6_i3|m.16097,lcl|c220936_g1_i1|m.7247,lcl|c229060_g1_i1|m.13927	
GO:0030837	negative regulation of actin filament polymerization	biological_process	1E0		lcl|c221753_g3_i7|m.7844	
GO:0030838	positive regulation of actin filament polymerization	biological_process	1E0		lcl|c221753_g3_i7|m.7844	
GO:0006732	coenzyme metabolic process	biological_process	1E0		lcl|c219556_g4_i5|m.6447,lcl|c223247_g3_i6|m.8971	
GO:0051084	'de novo' posttranslational protein folding	biological_process	1E0		lcl|c243554_g1_i5|m.31071	
GO:0006733	oxidoreduction coenzyme metabolic process	biological_process	1E0		lcl|c219556_g4_i5|m.6447,lcl|c223247_g3_i6|m.8971	
GO:0051085	chaperone mediated protein folding requiring cofactor	biological_process	1E0		lcl|c243554_g1_i5|m.31071	
GO:0006739	NADP metabolic process	biological_process	1E0		lcl|c223247_g3_i6|m.8971	
GO:0035088	establishment or maintenance of apical/basal cell polarity	biological_process	1E0		lcl|c225394_g4_i2|m.10584	
GO:1990748	cellular detoxification	biological_process	1E0		lcl|c243506_g1_i6|m.31041,lcl|c238919_g4_i6|m.25079	
GO:0006743	ubiquinone metabolic process	biological_process	1E0		lcl|c219556_g4_i5|m.6447	
GO:0035090	maintenance of apical/basal cell polarity	biological_process	1E0		lcl|c225394_g4_i2|m.10584	
GO:0006744	ubiquinone biosynthetic process	biological_process	1E0		lcl|c219556_g4_i5|m.6447	
GO:0006753	nucleoside phosphate metabolic process	biological_process	1E0		lcl|c210226_g1_i1|m.2139,lcl|c223247_g3_i6|m.8971,lcl|c231281_g6_i3|m.16097,lcl|c220936_g1_i1|m.7247,lcl|c229060_g1_i1|m.13927	
GO:0006754	ATP biosynthetic process	biological_process	1E0		lcl|c210226_g1_i1|m.2139,lcl|c231281_g6_i3|m.16097	
GO:0061245	establishment or maintenance of bipolar cell polarity	biological_process	1E0		lcl|c225394_g4_i2|m.10584	
GO:0016310	phosphorylation	biological_process	1E0		lcl|c210724_g2_i1|m.2253,lcl|c244151_g1_i2|m.31813,lcl|c238372_g5_i2|m.24429,lcl|c220936_g1_i1|m.7247	
GO:0042221	response to chemical	biological_process	1E0		lcl|c243506_g1_i6|m.31041,lcl|c238919_g4_i6|m.25079,lcl|c243554_g1_i5|m.31071	
GO:0033036	macromolecule localization	biological_process	1E0		lcl|c225394_g4_i2|m.10584,lcl|c217645_g1_i1|m.5302,lcl|c224534_g1_i4|m.9895,lcl|c225618_g2_i6|m.10783	
GO:1990778	protein localization to cell periphery	biological_process	1E0		lcl|c225394_g4_i2|m.10584	
GO:0019438	aromatic compound biosynthetic process	biological_process	1E0		lcl|c210226_g1_i1|m.2139,lcl|c231281_g6_i3|m.16097,lcl|c229060_g1_i1|m.13927	
GO:0051128	regulation of cellular component organization	biological_process	1E0		lcl|c221753_g3_i7|m.7844,lcl|c223077_g2_i1|m.8858	
GO:0051129	negative regulation of cellular component organization	biological_process	1E0		lcl|c221753_g3_i7|m.7844	
GO:0033043	regulation of organelle organization	biological_process	1E0		lcl|c221753_g3_i7|m.7844	
GO:0051130	positive regulation of cellular component organization	biological_process	1E0		lcl|c221753_g3_i7|m.7844,lcl|c223077_g2_i1|m.8858	
GO:0072655	establishment of protein localization to mitochondrion	biological_process	1E0		lcl|c225618_g2_i6|m.10783	
GO:0006793	phosphorus metabolic process	biological_process	1E0		lcl|c210724_g2_i1|m.2253,lcl|c244151_g1_i2|m.31813,lcl|c238372_g5_i2|m.24429,lcl|c210226_g1_i1|m.2139,lcl|c223247_g3_i6|m.8971,lcl|c231281_g6_i3|m.16097,lcl|c220936_g1_i1|m.7247,lcl|c229060_g1_i1|m.13927	
GO:0072657	protein localization to membrane	biological_process	1E0		lcl|c225394_g4_i2|m.10584	
GO:0006796	phosphate-containing compound metabolic process	biological_process	1E0		lcl|c210724_g2_i1|m.2253,lcl|c244151_g1_i2|m.31813,lcl|c238372_g5_i2|m.24429,lcl|c210226_g1_i1|m.2139,lcl|c223247_g3_i6|m.8971,lcl|c231281_g6_i3|m.16097,lcl|c220936_g1_i1|m.7247,lcl|c229060_g1_i1|m.13927	
GO:0072659	protein localization to plasma membrane	biological_process	1E0		lcl|c225394_g4_i2|m.10584	
GO:0008380	RNA splicing	biological_process	1E0		lcl|c225931_g4_i1|m.11061	
GO:0051156	glucose 6-phosphate metabolic process	biological_process	1E0		lcl|c223247_g3_i6|m.8971	
GO:0006807	nitrogen compound metabolic process	biological_process	1E0		lcl|c241500_g1_i1|m.28663,lcl|c224289_g1_i1|m.9705,lcl|c218703_g1_i4|m.5907,lcl|c237215_g1_i1|m.23031,lcl|c211022_g1_i7|m.2328,lcl|c210226_g1_i1|m.2139,lcl|c218820_g4_i2|m.5974,lcl|c220936_g1_i1|m.7247,lcl|c238111_g1_i1|m.24102,lcl|c223077_g2_i1|m.8858,lcl|c237832_g1_i6|m.23803,lcl|c218481_g4_i6|m.5811,lcl|c223247_g3_i6|m.8971,lcl|c225931_g4_i1|m.11061,lcl|c231281_g6_i3|m.16097,lcl|c229060_g1_i1|m.13927	
GO:0006810	transport	biological_process	1E0		lcl|c235743_g4_i1|m.21296,lcl|c217645_g1_i1|m.5302,lcl|c210226_g1_i1|m.2139,lcl|c233001_g2_i4|m.18006,lcl|c224534_g1_i4|m.9895,lcl|c235722_g2_i1|m.21267,lcl|c231281_g6_i3|m.16097,lcl|c225618_g2_i6|m.10783	
GO:0006811	ion transport	biological_process	1E0		lcl|c235743_g4_i1|m.21296,lcl|c210226_g1_i1|m.2139,lcl|c231281_g6_i3|m.16097	
GO:0043412	macromolecule modification	biological_process	1E0		lcl|c228038_g3_i1|m.12994,lcl|c241500_g1_i1|m.28663,lcl|c217573_g1_i1|m.5252,lcl|c210724_g2_i1|m.2253,lcl|c242193_g2_i1|m.29501,lcl|c221356_g3_i2|m.7588,lcl|c222929_g2_i3|m.8717,lcl|c228448_g3_i1|m.13331	
GO:0006812	cation transport	biological_process	1E0		lcl|c235743_g4_i1|m.21296,lcl|c210226_g1_i1|m.2139,lcl|c231281_g6_i3|m.16097	
GO:0043413	macromolecule glycosylation	biological_process	1E0		lcl|c241500_g1_i1|m.28663	
GO:0060255	regulation of macromolecule metabolic process	biological_process	1E0		lcl|c237832_g1_i6|m.23803,lcl|c223425_g3_i3|m.9106,lcl|c224263_g3_i3|m.9691,lcl|c223433_g6_i1|m.9115,lcl|c242001_g1_i2|m.29236,lcl|c223077_g2_i1|m.8858	
GO:0002181	cytoplasmic translation	biological_process	1E0		lcl|c224289_g1_i1|m.9705,lcl|c218820_g4_i2|m.5974	
GO:0006818	hydrogen transport	biological_process	1E0		lcl|c235743_g4_i1|m.21296,lcl|c210226_g1_i1|m.2139,lcl|c231281_g6_i3|m.16097	
GO:0002183	cytoplasmic translational initiation	biological_process	1E0		lcl|c224289_g1_i1|m.9705,lcl|c218820_g4_i2|m.5974	
GO:0043419	urea catabolic process	biological_process	1E0		lcl|c238111_g1_i1|m.24102	
GO:0051171	regulation of nitrogen compound metabolic process	biological_process	1E0		lcl|c237832_g1_i6|m.23803,lcl|c223077_g2_i1|m.8858	
GO:0051172	negative regulation of nitrogen compound metabolic process	biological_process	1E0		lcl|c237832_g1_i6|m.23803	
GO:0051173	positive regulation of nitrogen compound metabolic process	biological_process	1E0		lcl|c223077_g2_i1|m.8858	
GO:0051179	localization	biological_process	1E0		lcl|c225394_g4_i2|m.10584,lcl|c235743_g4_i1|m.21296,lcl|c217645_g1_i1|m.5302,lcl|c210226_g1_i1|m.2139,lcl|c233001_g2_i4|m.18006,lcl|c224534_g1_i4|m.9895,lcl|c235722_g2_i1|m.21267,lcl|c231281_g6_i3|m.16097,lcl|c225618_g2_i6|m.10783	
GO:0036211	protein modification process	biological_process	1E0		lcl|c228038_g3_i1|m.12994,lcl|c241500_g1_i1|m.28663,lcl|c217573_g1_i1|m.5252,lcl|c210724_g2_i1|m.2253,lcl|c242193_g2_i1|m.29501,lcl|c221356_g3_i2|m.7588,lcl|c222929_g2_i3|m.8717,lcl|c228448_g3_i1|m.13331	
GO:0051186	cofactor metabolic process	biological_process	1E0		lcl|c219556_g4_i5|m.6447,lcl|c223247_g3_i6|m.8971	
GO:0051188	cofactor biosynthetic process	biological_process	1E0		lcl|c219556_g4_i5|m.6447	
GO:0070585	protein localization to mitochondrion	biological_process	1E0		lcl|c225618_g2_i6|m.10783	
